firma,2019,2018,2017,2016
Walmart,219295.0,204522.0,198825.0,199581.0
Sinopec Group,329186.3,346544.5,310726.0,317006.0
Royal Dutch Shell,399194.0,407097.0,411275.0,340157.0
China National Petroleum,601899.9,629410.5,585619.0,621242.0
State Grid,572309.5,585278.0,489838.0,478539.0
Saudi Aramco,358872.9,-,-,-
BP,282176.0,276515.0,263316.0,261832.0
Exxon Mobil,346196.0,348691.0,330314.0,336758.0
Volkswagen,523672.3,506956.1,432116.0,414858.0
Toyota Motor,469295.6,473133.2,437575.0,422029.0
Apple,365725.0,375319.0,321686.0,290479.0
Berkshire Hathaway,707794.0,702095.0,620854.0,552257.0
Amazon.com,162648.0,131310.0,83402.0,65444.0
UnitedHealth Group,152221.0,139058.0,122810.0,111383.0
Samsung Electronics,304165.3,281905.9,217104.0,206585.0
Glencore,128672.0,135593.0,124600.0,128485.0
McKesson,59672.0,60381.0,60969.0,56563.0
Daimler,321890.5,306922.4,256262.0,235886.0
CVS Health,196456.0,95131.0,94462.0,93657.0
Total,256762.0,242631.0,230978.0,224484.0
China State Construction Engineering,272768.8,239680.9,201269.0,166279.0
Trafigura Group,53801.0,48607.6,41230.0,39087.0
Hon Hai Precision Industry,110012.9,114528.3,80436.0,70287.0
EXOR Group,190052.3,196655.9,186172.0,170419.0
AT&amp;T,531864.0,444097.0,403821.0,402672.0
Industrial &amp; Commercial Bank of China,4034481.6,4005995.5,3473238.0,3420257.0
AmerisourceBergen,37669.8,35316.5,33656.0,27736.0
Chevron,253863.0,253806.0,260078.0,266103.0
Ping An Insurance,1040383.4,997093.8,802490.0,733824.0
Ford Motor,256540.0,257808.0,237951.0,224925.0
China Construction Bank,3382421.7,3397479.0,3016578.0,2825781.0
General Motors,227339.0,212482.0,221690.0,194520.0
Mitsubishi,149388.3,150822.8,141402.0,132731.0
Honda Motor,184504.6,181972.8,170165.0,162211.0
Costco Wholesale,40830.0,36347.0,33163.0,33440.0
Agricultural Bank of China,3293105.0,3233013.2,2816039.0,2739835.0
Alphabet,232792.0,197295.0,167497.0,147461.0
Cardinal Health,39951.0,40112.0,34122.0,30142.0
SAIC Motor,114011.7,111107.7,84989.0,78790.0
Walgreens Boots Alliance,68124.0,66009.0,72688.0,-
JPMorgan Chase &amp; Co.,2622532.0,-,2490972.0,2351698.0
Gazprom,300354.8,316870.9,277262.0,233958.0
Verizon Communications,264829.0,257143.0,244180.0,244640.0
Bank of China,3097612.0,2989469.3,2611539.0,2589565.0
Allianz,1025919.1,1082252.6,932091.0,922121.0
AXA,1063784.4,1044822.3,941556.0,963535.0
Kroger,38118.0,37197.0,36505.0,33897.0
General Electric,309129.0,377945.0,365183.0,492692.0
Fannie Mae,3418318.0,3345529.0,3287968.0,3221917.0
