firma,2019,2018,2017,2016
Walmart,6670.0,9862.0,13643.0,14694.0
Sinopec Group,5845.0,1537.8,1257.9,3595.0
Royal Dutch Shell,23352.0,12977.0,4575.0,1939.0
China National Petroleum,2270.5,-690.5,1867.5,7091.0
State Grid,8174.8,9533.4,9571.3,10201.0
Saudi Aramco,110974.5,-,-,-
BP,9383.0,3389.0,115.0,-6482.0
Exxon Mobil,20840.0,19710.0,7840.0,16150.0
Volkswagen,14322.5,13107.3,5937.3,-1520.0
Toyota Motor,16982.0,22510.1,16899.3,19264.0
Apple,59531.0,48351.0,45687.0,53394.0
Berkshire Hathaway,4021.0,44940.0,24074.0,24083.0
Amazon.com,10073.0,3033.0,2371.0,596.0
UnitedHealth Group,11986.0,10558.0,7017.0,5813.0
Samsung Electronics,39895.2,36575.4,19316.5,16532.0
Glencore,3408.0,5777.0,1379.0,-4964.0
McKesson,34.0,67.0,5070.0,2258.0
Daimler,8555.0,11863.9,9428.4,9345.0
CVS Health,-594.0,6622.0,5317.0,5237.0
Total,11446.0,8631.0,6196.0,5087.0
China State Construction Engineering,3159.5,2675.2,2492.9,2251.0
Trafigura Group,849.2,847.7,750.8,1236.0
Hon Hai Precision Industry,4281.6,4559.9,4608.8,4627.0
EXOR Group,1589.7,1569.1,651.3,825.0
AT&amp;T,19370.0,29450.0,12976.0,13345.0
Industrial &amp; Commercial Bank of China,45002.3,42323.7,41883.9,44098.0
AmerisourceBergen,1658.4,364.5,1427.9,-135.0
Chevron,14824.0,9195.0,-497.0,4587.0
Ping An Insurance,16237.2,13181.4,9392.0,8625.0
Ford Motor,3677.0,7602.0,4596.0,7373.0
China Construction Bank,38498.4,35845.2,34840.9,36303.0
General Motors,8014.0,-3864.0,9427.0,9687.0
Mitsubishi,5328.0,5056.0,4063.5,-1244.0
Honda Motor,5504.6,9561.3,5690.3,2870.0
Costco Wholesale,3134.0,2679.0,2350.0,2377.0
Agricultural Bank of China,30656.5,28550.4,27687.8,28735.0
Alphabet,30736.0,12662.0,19478.0,16348.0
Cardinal Health,256.0,1288.0,1427.0,1215.0
SAIC Motor,5443.8,5091.3,4818.2,4741.0
Walgreens Boots Alliance,5024.0,4078.0,4173.0,-
JPMorgan Chase &amp; Co.,32474.0,-,24733.0,24442.0
Gazprom,23199.1,12249.9,14222.6,12882.0
Verizon Communications,15528.0,30101.0,13127.0,17879.0
Bank of China,27225.2,25509.2,24773.4,27186.0
Allianz,8806.4,7668.4,7611.5,7339.0
AXA,2525.6,6998.9,6446.0,6231.0
Kroger,3110.0,1907.0,1975.0,2039.0
General Electric,-22355.0,-5786.0,8831.0,-6126.0
Fannie Mae,15959.0,2463.0,12313.0,10954.0
Lukoil,9863.7,7182.3,3090.6,4765.0
China Life Insurance,-2566.9,266.5,162.4,4170.0
Japan Post Holdings,4324.0,4157.5,-267.4,3548.0
BMW Group,8399.3,9716.6,7589.4,7065.0
Phillips 66,5595.0,5106.0,1555.0,4227.0
China Railway Engineering Group,1240.9,-,924.1,983.0
China Mobile Communications,11745.3,10932.0,9614.3,10144.0
Valero Energy,3122.0,4065.0,2289.0,3990.0
Bank of America Corp.,28147.0,18232.0,17906.0,15888.0
China Railway Construction,1186.9,1308.8,1192.4,1106.0
Microsoft,16571.0,21204.0,16798.0,12193.0
Huawei Investment &amp; Holding,8953.9,7020.8,5579.4,5873.0
Home Depot,11121.0,8630.0,7957.0,7009.0
China National Offshore Oil,7331.1,3018.5,1752.4,4608.0
Nippon Telegraph &amp; Telephone,7707.5,8210.7,7384.4,6145.0
Itochu,4514.3,3613.3,3250.6,2002.0
Nissan Motor,2878.4,6741.3,6123.4,4364.0
China Development Bank,16744.3,-,-,-
Boeing,10460.0,8197.0,4895.0,5176.0
Wells Fargo,22393.0,22183.0,21938.0,22894.0
Siemens,6908.9,6667.4,6050.5,8338.0
Citigroup,18045.0,-6798.0,14912.0,17242.0
Marathon Petroleum,2780.0,3432.0,1174.0,2852.0
SK Holdings,2048.0,1483.9,659.7,4728.0
Petrobras,7173.0,-91.0,-4838.0,-8450.0
Comcast,11731.0,22714.0,8695.0,8163.0
Nestlé,10364.8,7297.4,8659.2,9423.0
Bosch Group,3596.0,-,2155.3,3542.0
Uniper,-533.4,-739.5,-3557.5,-
Anthem,3750.0,3842.8,2469.8,2560.0
China Resources,3474.6,-,2580.2,2489.0
Carrefour,-662.1,-598.6,825.0,1087.0
Dongfeng Motor,1599.7,1400.0,1415.0,-
ENI,4869.4,3803.2,-1619.0,-9743.0
Dell Technologies,-2310.0,-3728.0,-1672.0,-
Banco Santander,9217.1,7461.0,6860.7,6618.0
Rosneft Oil,8745.8,3807.2,2705.1,5810.0
China FAW Group,2660.3,2855.8,2411.3,3253.0
Sinochem Group,701.4,753.3,468.0,-55.0
Enel,5651.8,4259.7,2842.0,2436.0
Deutsche Telekom,2556.2,3901.3,2958.1,3610.0
Crédit Agricole,5192.7,4113.2,3914.7,3900.0
Assicurazioni Generali,2725.0,2378.4,2301.3,2252.0
China Communications Construction,1585.2,1544.7,1431.3,1709.0
Hyundai Motor,1370.8,3567.6,4659.0,5675.0
Pemex,-9377.9,-14846.1,-10256.3,-44904.0
Peugeot,3336.3,2174.4,1913.1,997.0
Pacific Construction Group,3390.9,3143.9,3168.1,3205.0
SoftBank Group,12727.9,9377.5,13163.4,3950.0
HSBC Holdings,13727.0,10798.0,2479.0,13522.0
DuPont,3844.0,-,4318.0,7685.0
China Post Group,4133.6,4960.7,4980.3,4194.0
Hitachi,2007.2,3276.2,2134.3,1434.0
Tesco,1743.1,1581.8,-52.7,209.0
BNP Paribas,8881.9,8746.1,8517.2,7426.0
JXTG Holdings,2907.1,3266.6,1477.3,-
Reliance Industries,5660.8,5596.3,4458.9,4221.0
China Energy Investment,3531.4,-,1916.9,1391.0
State Farm Insurance Cos.,8788.4,2206.5,350.3,6229.0
Johnson &amp; Johnson,15297.0,1300.0,16540.0,15409.0
Electricité de France,1389.1,3576.7,3152.8,1317.0
China Southern Power Grid,1782.4,1937.9,2329.8,2223.0
China Minmetals,-373.6,-210.7,-446.7,-1680.0
Equinor,7535.0,-,-2902.0,-4652.0
International Business Machines,8728.0,5753.0,11872.0,13190.0
BASF,5555.1,6851.2,4485.3,4423.0
Sony,8264.0,4429.8,676.4,1231.0
Indian Oil,2484.7,3442.2,2960.0,1714.0
AEON,214.0,220.2,103.9,50.0
Amer International Group,1483.0,1545.8,1199.9,1141.0
ArcelorMittal,5149.0,4568.0,1779.0,-7946.0
People's Insurance Co. of China,1952.0,2382.0,2144.3,3110.0
Target,2937.0,2934.0,2737.0,3363.0
Airbus,3604.2,3238.5,1100.3,2991.0
Deutsche Post DHL Group,2448.8,3058.1,2918.3,-
Nippon Life Insurance,2514.5,2201.6,2786.9,3361.0
Engie,1219.1,1604.0,-458.9,-5122.0
Royal Ahold Delhaize,2116.0,2048.2,917.9,-
Freddie Mac,9235.0,5625.0,7815.0,6376.0
