firma,2019,2018,2017,2016
Walmart,514405.0,500343.0,485873.0,482130.0
Sinopec Group,414649.9,326953.0,267518.0,294344.0
Royal Dutch Shell,396556.0,311870.0,240033.0,272156.0
China National Petroleum,392976.6,326008.0,262573.0,299271.0
State Grid,387056.0,348903.0,315199.0,329601.0
Saudi Aramco,355905.0,-,-,-
BP,303738.0,244582.0,186606.0,225982.0
Exxon Mobil,290212.0,244363.0,205004.0,246204.0
Volkswagen,278341.5,260028.0,240264.0,236600.0
Toyota Motor,272612.0,265172.0,254694.0,236592.0
Apple,265595.0,229234.0,215639.0,233715.0
Berkshire Hathaway,247837.0,242137.0,223604.0,210821.0
Amazon.com,232887.0,177866.0,135987.0,107006.0
UnitedHealth Group,226247.0,201159.0,184840.0,157107.0
Samsung Electronics,221579.4,211940.0,173957.0,177440.0
Glencore,219754.0,205476.0,173883.0,170497.0
McKesson,214319.0,208357.0,198533.0,192487.0
Daimler,197515.3,185235.0,169483.0,165800.0
CVS Health,194579.0,184765.0,177526.0,153290.0
Total,184106.0,149099.0,127925.0,143421.0
China State Construction Engineering,181524.5,156071.0,144505.0,140159.0
Trafigura Group,180744.1,136421.0,98098.0,97237.0
Hon Hai Precision Industry,175617.0,154699.0,135129.0,141213.0
EXOR Group,175009.5,161677.0,154894.0,152591.0
AT&amp;T,170756.0,160546.0,163786.0,146801.0
Industrial &amp; Commercial Bank of China,168979.0,153021.0,147675.0,167227.0
AmerisourceBergen,167939.6,153144.0,146850.0,135962.0
Chevron,166339.0,134533.0,107567.0,131118.0
Ping An Insurance,163597.4,144197.0,116581.0,110308.0
Ford Motor,160338.0,156776.0,151800.0,149558.0
China Construction Bank,151110.8,138594.0,135093.0,147910.0
General Motors,147049.0,157311.0,166380.0,152356.0
Mitsubishi,145243.3,68301.0,59303.0,57689.0
Honda Motor,143302.9,138646.0,129198.0,121624.0
Costco Wholesale,141576.0,129025.0,118719.0,116199.0
Agricultural Bank of China,139523.6,122366.0,117275.0,133419.0
Alphabet,136819.0,110855.0,90272.0,74989.0
Cardinal Health,136809.0,129976.0,121546.0,102531.0
SAIC Motor,136392.5,128819.0,113861.0,106684.0
Walgreens Boots Alliance,131537.0,118214.0,117351.0,-
JPMorgan Chase &amp; Co.,131412.0,-,105486.0,101006.0
Gazprom,131302.0,111983.0,91382.0,99464.0
Verizon Communications,130863.0,126034.0,125980.0,131620.0
Bank of China,127714.1,115423.0,113708.0,122337.0
Allianz,126799.6,123532.0,122196.0,122948.0
AXA,125578.2,149461.0,143722.0,129250.0
Kroger,121162.0,122662.0,115337.0,109830.0
General Electric,120268.0,122274.0,126661.0,140389.0
Fannie Mae,120101.0,112394.0,107162.0,110359.0
Lukoil,119145.0,93897.0,70897.0,84677.0
China Life Insurance,116171.5,120224.0,104818.0,101274.0
Japan Post Holdings,115220.5,116616.0,122990.0,118762.0
BMW Group,115042.8,111231.0,104130.0,102248.0
Phillips 66,114217.0,91568.0,72396.0,87169.0
China Railway Engineering Group,112132.7,-,96979.0,99435.0
China Mobile Communications,112096.0,110159.0,107117.0,106761.0
Valero Energy,111407.0,88407.0,70166.0,81824.0
Bank of America Corp.,110584.0,100264.0,93662.0,93056.0
China Railway Construction,110455.9,100855.0,94877.0,95652.0
Microsoft,110360.0,89950.0,85320.0,93580.0
Huawei Investment &amp; Holding,109030.4,89311.0,78511.0,62855.0
Home Depot,108203.0,100904.0,94595.0,88519.0
China National Offshore Oil,108130.4,81482.0,65892.0,67799.0
Nippon Telegraph &amp; Telephone,107146.9,106500.0,105128.0,96134.0
Itochu,104627.3,49732.0,44654.0,42345.0
Nissan Motor,104390.6,107868.0,108164.0,101536.0
China Development Bank,103072.9,-,-,-
Boeing,101127.0,93392.0,94571.0,96114.0
Wells Fargo,101060.0,97741.0,94176.0,90033.0
Siemens,98802.0,91585.0,88419.0,87660.0
Citigroup,97120.0,87966.0,82386.0,88275.0
Marathon Petroleum,97102.0,67610.0,55858.0,64566.0
SK Holdings,95904.5,83544.0,72579.0,34992.0
Petrobras,95584.0,88827.0,81405.0,97314.0
Comcast,94507.0,84526.0,80403.0,74510.0
Nestlé,93512.5,91222.0,90814.0,92285.0
Bosch Group,92601.9,-,80869.0,78323.0
Uniper,92260.8,81428.0,74407.0,-
Anthem,92105.0,90039.0,84863.0,79157.0
China Resources,91986.0,-,75776.0,76574.0
Carrefour,91955.2,91276.0,87112.0,87474.0
Dongfeng Motor,90934.2,93294.0,86194.0,-
ENI,90799.8,80006.0,62694.0,92985.0
Dell Technologies,90621.0,78660.0,64806.0,-
Banco Santander,90531.9,87401.0,82801.0,84885.0
Rosneft Oil,90055.0,72028.0,56553.0,64749.0
China FAW Group,89804.7,69524.0,64784.0,62852.0
Sinochem Group,89358.1,76765.0,59533.0,60656.0
Enel,89305.7,84134.0,78064.0,83926.0
Deutsche Telekom,89286.8,84481.0,80832.0,76793.0
Crédit Agricole,88325.0,84222.0,80258.0,84099.0
Assicurazioni Generali,88157.4,100552.0,95217.0,102567.0
China Communications Construction,88140.9,79417.0,70751.0,67764.0
Hyundai Motor,87999.2,85259.0,80701.0,81320.0
Pemex,87403.3,73850.0,57774.0,73514.0
Peugeot,87364.3,73506.0,59749.0,60651.0
Pacific Construction Group,86622.6,77205.0,74629.0,73047.0
SoftBank Group,86604.7,82665.0,82892.0,76469.0
HSBC Holdings,86131.0,79637.0,75329.0,89061.0
DuPont,85977.0,-,48158.0,48778.0
China Post Group,85627.9,72197.0,65605.0,69637.0
