firma,2019,2018,2017,2016
Walmart,2200000,2300000,2300000,2300000
Sinopec Group,619151,667793,713288,810538
Royal Dutch Shell,81000,84000,89000,90000
China National Petroleum,1382401,1470193,1512048,1589508
State Grid,917717,913546,926067,927839
Saudi Aramco,76418,-,-,-
BP,73000,74000,74500,79800
Exxon Mobil,71000,71200,72700,75600
Volkswagen,664496,642292,626715,610076
Toyota Motor,370870,369124,364445,348877
Apple,132000,123000,116000,110000
Berkshire Hathaway,389000,377000,367700,331000
Amazon.com,647500,566000,341400,230800
UnitedHealth Group,300000,260000,230000,200000
Samsung Electronics,309630,320671,325000,319000
Glencore,85504,82681,93123,102388
McKesson,70000,68000,64500,68000
Daimler,298683,289321,282488,284015
CVS Health,295000,203000,204000,199000
Total,104460,98277,102168,96019
China State Construction Engineering,302827,270467,263915,241474
Trafigura Group,4316,3935,4107,5248
Hon Hai Precision Industry,667680,803126,726772,1060000
EXOR Group,314790,307637,302562,303247
AT&amp;T,268220,254000,268540,281450
Industrial &amp; Commercial Bank of China,449296,453048,461749,466346
AmerisourceBergen,20500,19500,18500,17000
Chevron,48600,51900,55200,61500
Ping An Insurance,376900,342550,318588,275011
Ford Motor,199000,202000,201000,199000
China Construction Bank,366996,370415,362482,369183
General Motors,173000,180000,225000,215000
Mitsubishi,79994,77476,77164,68247
Honda Motor,219722,215638,211915,208399
Costco Wholesale,194000,182000,172000,161000
Agricultural Bank of China,477526,491578,501368,508726
Alphabet,98771,80110,72053,61814
Cardinal Health,50200,40400,37300,34500
SAIC Motor,147738,148767,97582,92780
Walgreens Boots Alliance,299000,290000,300000,-
JPMorgan Chase &amp; Co.,256105,-,243355,234598
Gazprom,466100,469600,467400,462400
Verizon Communications,144500,155400,160900,177700
Bank of China,310119,311133,308900,310042
Allianz,142460,140553,140253,142459
AXA,104065,95728,97707,98279
Kroger,453000,449000,443000,431000
General Electric,283000,313000,295000,333000
Fannie Mae,7400,7200,7000,7300
Lukoil,102500,103600,105500,106200
China Life Insurance,175077,170517,143676,130732
Japan Post Holdings,245922,245863,248384,250876
BMW Group,134682,129932,124729,122244
Phillips 66,14200,14600,14800,14000
